星期,小时,PV次数,日均PV
Saturday,0,70684,35342
Saturday,1,33527,16764
Saturday,2,16773,8387
Saturday,3,12257,6129
Saturday,4,10531,5266
Saturday,5,13918,6959
Saturday,6,28276,14138
Saturday,7,55690,27845
Saturday,8,74877,37439
Saturday,9,86335,43168
Saturday,10,100887,50444
Saturday,11,99249,49625
Saturday,12,97315,48658
Saturday,13,107949,53975
Saturday,14,109052,54526
Saturday,15,113951,56976
Saturday,16,115509,57755
Saturday,17,105168,52584
Saturday,18,107865,53933
Saturday,19,133262,66631
Saturday,20,160933,80467
Saturday,21,182744,91372
Saturday,22,180536,90268
Saturday,23,145567,72784
Sunday,0,83836,41918
Sunday,1,40167,20084
Sunday,2,20379,10190
Sunday,3,12916,6458
Sunday,4,10653,5327
Sunday,5,13734,6867
Sunday,6,27493,13747
Sunday,7,57081,28541
Sunday,8,78381,39191
Sunday,9,92321,46161
Sunday,10,103914,51957
Sunday,11,103725,51863
Sunday,12,98072,49036
Sunday,13,107482,53741
Sunday,14,113065,56533
Sunday,15,112823,56412
Sunday,16,114155,57078
Sunday,17,103626,51813
Sunday,18,105169,52585
Sunday,19,129504,64752
Sunday,20,159221,79611
Sunday,21,184639,92320
Sunday,22,177544,88772
Sunday,23,127855,63928
Monday,0,32124,32124
Monday,1,14567,14567
Monday,2,7425,7425
Monday,3,5490,5490
Monday,4,4639,4639
Monday,5,5987,5987
Monday,6,12552,12552
Monday,7,20664,20664
Monday,8,29801,29801
Monday,9,37505,37505
Monday,10,45022,45022
Monday,11,43403,43403
Monday,12,45825,45825
Monday,13,50444,50444
Monday,14,48065,48065
Monday,15,47655,47655
Monday,16,44501,44501
Monday,17,41174,41174
Monday,18,41792,41792
Monday,19,53958,53958
Monday,20,67740,67740
Monday,21,77098,77098
Monday,22,75733,75733
Monday,23,56278,56278
Tuesday,0,27708,27708
Tuesday,1,12375,12375
Tuesday,2,6957,6957
Tuesday,3,4941,4941
Tuesday,4,4496,4496
Tuesday,5,5847,5847
Tuesday,6,12876,12876
Tuesday,7,21436,21436
Tuesday,8,29940,29940
Tuesday,9,38387,38387
Tuesday,10,44602,44602
Tuesday,11,41766,41766
Tuesday,12,43677,43677
Tuesday,13,49101,49101
Tuesday,14,46589,46589
Tuesday,15,47535,47535
Tuesday,16,44664,44664
Tuesday,17,39656,39656
Tuesday,18,42028,42028
Tuesday,19,54282,54282
Tuesday,20,65398,65398
Tuesday,21,75585,75585
Tuesday,22,74596,74596
Tuesday,23,52365,52365
Wednesday,0,28980,28980
Wednesday,1,13770,13770
Wednesday,2,7612,7612
Wednesday,3,5475,5475
Wednesday,4,4521,4521
Wednesday,5,6315,6315
Wednesday,6,13417,13417
Wednesday,7,21833,21833
Wednesday,8,30863,30863
Wednesday,9,38770,38770
Wednesday,10,45536,45536
Wednesday,11,44855,44855
Wednesday,12,47192,47192
Wednesday,13,51161,51161
Wednesday,14,50383,50383
Wednesday,15,50234,50234
Wednesday,16,46834,46834
Wednesday,17,43167,43167
Wednesday,18,42909,42909
Wednesday,19,56478,56478
Wednesday,20,66732,66732
Wednesday,21,77135,77135
Wednesday,22,75717,75717
Wednesday,23,55528,55528
Thursday,0,29751,29751
Thursday,1,14432,14432
Thursday,2,7273,7273
Thursday,3,5485,5485
Thursday,4,4355,4355
Thursday,5,5920,5920
Thursday,6,13569,13569
Thursday,7,21385,21385
Thursday,8,31744,31744
Thursday,9,40519,40519
Thursday,10,48586,48586
Thursday,11,45478,45478
Thursday,12,47911,47911
Thursday,13,50534,50534
Thursday,14,48471,48471
Thursday,15,57041,57041
Thursday,16,46416,46416
Thursday,17,40579,40579
Thursday,18,43369,43369
Thursday,19,56570,56570
Thursday,20,68610,68610
Thursday,21,76990,76990
Thursday,22,77007,77007
Thursday,23,55807,55807
Friday,0,30253,30253
Friday,1,15067,15067
Friday,2,7663,7663
Friday,3,6183,6183
Friday,4,5098,5098
Friday,5,6879,6879
Friday,6,14350,14350
Friday,7,23553,23553
Friday,8,32754,32754
Friday,9,39281,39281
Friday,10,47800,47800
Friday,11,44751,44751
Friday,12,47089,47089
Friday,13,51836,51836
Friday,14,50127,50127
Friday,15,50366,50366
Friday,16,48147,48147
Friday,17,44104,44104
Friday,18,47824,47824
Friday,19,60034,60034
Friday,20,72064,72064
Friday,21,83907,83907
Friday,22,81780,81780
Friday,23,65129,65129
