类目,PV次数,收藏次数,加购次数,购买次数,PV转购买率
4756105,447776,13884,21473,2799,0.625
4145813,319203,11292,17223,3169,0.993
2355072,317081,9009,12504,1234,0.389
3607361,298508,7095,10989,1281,0.429
982926,283594,9055,15317,2501,0.882
2520377,202509,6808,8429,988,0.488
4801426,188423,6838,12377,2744,1.456
1320293,182352,5310,9675,1672,0.917
2465336,150972,5525,8325,1421,0.941
3002561,143177,5425,8085,1625,1.135
2735466,110211,3549,9315,3333,3.024
149192,98879,3929,6110,1129,1.142
4181361,98665,4368,5729,814,0.825
1080785,97749,3310,3811,444,0.454
2885642,95124,2810,5758,3137,3.298
4217906,91457,3474,6062,1422,1.555
154040,91389,2190,3032,230,0.252
3738615,82219,2278,5599,970,1.180
1879194,76713,2655,3769,1275,1.662
2640118,71848,1728,6244,1798,2.503
